DEFINITION_NAME	[FILL] is when	ACTION	[FILL] the/a	QUANTIFIER	ADJ	AGENT/OBJECT	SCOPE	QUANITIFIER	ACTION	OBJECT/PROPERTY	WHEN/WHERE	[FILL] by (mechanism)	HOW	[FILL] for/to	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
		improving	the			design	of something		helps	that something 				to	do its function				# Q 2138		c1b8-cab4-eb78-9161	
incomplete metamorphosis	is when		an			insect			reaches	the adult stage		without	being a pupa						#1079		a4a0-25e7-ae9c-5654	
		inventing	a			tool			allows; enables	that tool to be used									# Q 951		efcb-faab-cd79-cd07	
						jet streams		may	deflect	the air masses	moved by the prevailing westerlies								# Q 229		6aa0-5875-fa94-91e5	
			the			kidney			removes; filters	cell waste; byproducts	from the blood								#282		7762-fb32-6a1f-62ec	
			a			leaf			performs	photosynthesis; gas exchange									# 892		8958-fc28-d9ce-a1d6	
			a			leaf			absorbs	sunlight				to	perform photosynthesis				#1046		0514-7919-c1bf-6188	
			the			leaves	of a plant		tilt		in the direction of sunlight								#843		900a-fda3-7a86-85db	
					tinted	lenses			reflect	ultraviolet rays									#  Q 1901		6835-a29c-ba48-1fb7	
						light			enters	the eye						through	the pupil		# Q 971		be64-4c22-3323-47e2	
						light that enters the eye through the pupil			falls on	the retina									# Q 1997	Moved to IF-THEN	99ef-2926-54b2-c22f	
					denser	liquids			settle		below liquids that are less dense								#2051		54ff-9d51-da43-e4f9	
feeling	is when		an			living thing			senses							through	touch				e58b-6fd8-4321-1a69	
				all		living things			eliminate	waste											4637-2b52-badf-1d50	
				all		living things			grow										# Q 308		866e-9867-c534-141c	
						Louis Pasteur			created; invented	a process called pasteurization									#1256	All uses replaced.	4d6a-b157-9fbe-589d	
			a			magnet			attracts	magnetic metals; ferromagnetic metals		through	magnetism						#  804		178a-9dd1-8569-86f1	
			a			magnet			will not attract	nonmagnetic metals; nonmagnetic materials									#  804		23a8-e177-f667-e30f	
			a			mammal		usually	nurses 	its young; its offspring									# Q 1711		40c7-9325-944b-d06d	
						mammals			birth; give birth to	live young									# add 'live young' versus 'egg' dimension?		e060-5559-9564-4cf4	
						matter	in the liquid state		drips										# Q 1110		b492-a3a6-e0aa-0ea9	
			a			microwave			cooks	food	faster than an oven does								#587		fa81-4952-705a-d338	
			a			mirror			reflects	light									#1002		4a90-d4de-70aa-2e38	
			a			monkey			births; gives birth to	live young									# Q 683		42cd-f6a8-2bbb-3df6	
			the			moon			reflects	sunlight	towards the Earth										a423-40e8-3886-4df5	
			the			moon			orbits	the Earth											a6a9-3e1b-7e02-ce06	
						mosquitos			lay	eggs	in water								#343		255a-a3ea-7373-252b	
			a			moth			undergoes	metamorphosis									#1321		fdca-4f63-cab2-1b60	
			a			mother			births	offspring											0bc0-292e-ad9a-9017	
			a			mouse			births; gives birth to	live young									# Q 683		1d87-acba-1519-cd97	
						muscles			push; pull	bones				to	move the bones				#837		e044-428c-b438-7117	
			a		compass's	needle			lines up with	Earth's magnetic poles									#1659		2d7b-fad0-6961-de51	
			the			North Star		does not	move		in the sky in the Northern Hemisphere each night								# Q 1576		a7ec-4506-0e8a-ce2e	
			a		white	object			reflects	all visible light									# 1347		902d-2137-8776-7a13	
			a		blue	object			reflects	only blue light									# 1077		c097-1dcb-a31f-8800	
			an			object; material; substance			comes from		that object or material's source								# Q 121 		27bb-0f7f-8143-a8d1	
					round	objects			roll										#1496		6b85-a565-613d-eac0	
						oceans			cover	70% of the surface	of the earth								# Q 67		3aef-09ab-a751-dd44	
			a		lack	of something that a living thing requires			prevents	the survival of that living thing									#1244		be10-2687-bb9c-5186	
						offspring			receive	genes	from their parents	through	inheritence; DNA						# Q 210		5524-96d8-a5d8-f0ce	
						oil			repels	water									#1090	Low quality. All uses replaced.	f54e-16f3-fa07-0bb6	
						one		should	use	safety goggles	when conducting an experiment								#1073	All uses replaced.	1bfc-e1e3-9ffc-9f57	
classifying	is when					one			sorts	something		by	kind; type						#528		0d00-93f4-5616-0efc	
			an			organism			breaks down	sugar				to	release energy				#2175		6891-0161-c8a9-b8c1	
adaptation	is when		an			organism			develops	a trait	over time			for	survival				# Q 1790		c6fe-fa08-c304-093d	
						organisms			move through	the stages of the life cycle									#164		2a41-18d2-9149-55f5	
					dead	organisms			rot										# Q 639		b150-d213-b73e-de9d	
					different	organisms			reproduce	differently									#855		1fb7-aefd-cae4-eba8	
					dead	organisms			decay										#1412		2e43-6a8c-1231-65f1	
					national	parks			limit	mining; logging; hunting									#548		ec15-e4f0-40a4-c40e	
				usually		people			learn	how to read and write	in school										1975-c17f-560c-aa4c	
						people		usually only	play on	the beach	when the temperature is hot								#1210		f06d-9af1-c14f-fb25	
a vehicle inspection	is when		a			person			examines	a vehicle					for	safety; pollution standards			#272		2f5b-92ef-b906-5fc4	
			a			physicist			studies	energy									#522		e303-f8e1-4293-664d	
			a			plane			travels		through the atmosphere								#2061		7c13-177b-1402-1e61	
			a			planet			is exposed to	the heat	of the star around which it revolves								#1683		38e7-c5c0-194b-1ed6	
						planets			orbit	stars											e35c-e251-2993-ac25	
						planets		have	cleared	their orbits									# Q 662		123d-9df4-bf21-0c14	
			a		native; indigenous	plant			lives		in a place					because of	nature, not human change		# 1031		8ed5-51e7-540b-87a2	
			a			plant			absorbs	carbon dioxide	from the air			for	photosynthesis				#1426		7b20-0992-8ec1-c73c	
				usually		plants			die or become dormant		during the winter								# 392		b462-24cc-7651-6d33	
						plants			control	the amount of water	in their leaves					through	transpiration		# Q 230		3944-665a-cd65-c185	
				usually		plants			store	the food they produce				for	future use				#445		9f6b-7d55-4edf-3f0b	
			a			tectonic plate			moves along	a fault line									#1318		d28e-0ebd-8be3-a9d7	
						pluto		has not	cleared	its orbit									# Q 662		f63b-aef7-81b2-c372	
			a			predator			eats	other animals				for	food				# 499		9bdc-0291-3f7e-751d	
				some		predators			move 				quickly	to 	catch prey				# Q 6		07b2-9ecc-9cbf-916e	
			a			prism			refracts	light									#731		592f-eeca-3145-0e73	
			a			producer			produces	its own food									#1300		606d-9382-a8e0-7000	
						products			are formed; are produced; are created										# Q 1193		30c3-cdda-8d6b-d470	
		pushing	a			button		sometimes	completes	a circuit									# Q 1904		7fb4-c254-3d90-1dad	
						quartz			scratches	glass							easily		#536		a54c-e068-073d-def8	
		reducing				bacteria	in food		prevents	illness	in people								#1256		b267-35c1-c2c8-f1f0	
			the			refrigerator			was invented		in 1923								#740	Moved to During	1416-bcaa-70fb-f51b	
						reptiles			lay	eggs									#776		4f6f-b06b-3c90-bbbd	
						roots			anchor	plants	into the soil										efd2-9d11-3f32-24cc	
			a		plant's 	roots			slowly break down	rocks	as the roots grow								# 1315		c083-9545-9c5e-f943	
			a			salamander			eats	insects									#896		cbd8-e54c-3cb6-1a48	
			a			satellite			orbits	a planet											6a7c-945a-f6fc-9043	
						scientists			make	observations									#898		6987-1a5d-58e9-399d	
						seals		every year	return to	the same beaches				to	give birth				#748		24ac-6c7a-db37-64ad	
						seasonal changes			are made in response to	changes	in the environment								# Q 509		4c74-590e-8dfe-012b	
						sediment			falls to	the bottom	of bodies of water								# 762		46c5-1cb0-c4c3-4a30	
						seeds		may	sprout		when buried in soil								#858		6433-f2de-3946-945e	
			the			skeletal system			protects	internal organs									#243		1910-6fcf-a49a-634a	
			a			skunk			produces	a bad odor									#512		8ec7-a491-c4e5-aeec	
					baking	soda			can react	chemically			with vinegar						#278		b39a-5a6f-9af1-b3de	
stirring	is when					something			moves	an object			in a circular motion	for	mixing						a12e-4e1e-756a-6e49	
		riding				something			is to move	that thing	over a surface								#Highly questionable. 		5961-40f8-e1b9-e456	
a revolution	is when					something			revolves around	something else									# 460		3678-1c03-c983-ba31	
echo	is when					sound			reflects off of	a surface									#1009		68c7-53c9-4730-b283	
					intense	sound energy			can move	objects									# 1055		fedb-a67f-5daf-3a1d	
			a			source of something			emits; produces; generates	that something									# 32		b877-a58b-f75a-3998	
						spring			follows	winter									#168		7f16-3900-214b-cfcc	
						squirrels			store	food	in the autumn			to	eat during the winter				Table requires refactoring		6081-1b3a-dd4e-4611	
						squirrels			gather	nuts	in the autumn			to 	eat during the winter						8b17-5532-4eed-68b0	
				usually		squirrels			sleep		through the winter										75c9-ca95-9505-7f16	
						stars			appear to move		relative to the horizon during the night								# Q 928		fc96-f0ff-1c18-337e	
						sugar			dissolves		in water when they are combined										78d4-18c9-9484-0154	
						summer			follows	spring									#168		6089-585e-73e5-ebd5	
			the			sun			rises		in the east										5be6-58b4-ec52-40b2	
			the			sun			sets		in the west										e565-87e6-6f00-1598	
daylight	is when		the			sun			shines		on a location										ac73-12b7-56aa-d852	
friction	occurs when				two object's	surfaces			move against	each other									# 143, is this okay?		e9ed-3032-6736-3077	
						sweat			cools; helps to cool	a body											6641-7122-bf62-0870	
			the			nervous system			sends	observations in the form of electrical signals	to the rest of the body								#465		904b-3cbd-8469-b307	
			the			circulatory system			absorbs; carries	food; substances; oxygen	from the digestive and respiratory systems to the rest of the body								#1234		ea27-c3fc-7c64-eeb2	
			the			respiratory system			takes in	oxygen	from the air								#1274		a8c6-3b66-4842-24bc	
			the			circulatory system			brings	oxygen	from the lungs to the rest of the body								#1292		2edb-1e09-a137-4362	
			the		cellular	telephone			was invented		in 1973								#740		5deb-bf64-c55b-92ee	
			the			television			was invented		in 1927								#740		d02c-a651-7238-c2f5	
			the			smell	of rotting meat		attracts	flies									# Q 1558		fa71-3061-1c31-cead	
						cell theory			states that	all living things are made of cells									#549	Moved to MADEOF	84b9-648a-eadf-eaf7	
					shiny	things; objects			reflect	light											2827-1a44-52ad-a63e	
			an			threat			threatens										#1499		3125-5f0b-0b90-0577	
						timber companies			cut down	trees									#1218		d54a-daf9-1853-05ac	
			a			tire			moves against	the road											379e-4bd0-e3d5-5a1a	
					special	tissues	in plants		transport	food; water; minerals	throughout the plant								#1302		4cdf-2f38-c2ff-daa9	
						tunnels	in soil		loosen	that soil									#254		b964-cdbd-a226-4027	
			a			vehicle			transmits	something									# Q 935		0c4a-5373-ba1c-b533	
race	is when					vehicles; humans			compete										# 158, needs refactoring?		599c-ede6-83d2-982c	
			a			vine			climbs	objects									#438		a41a-a127-f2d9-ec5e	
						Vitamin D			strengthens; heals	bones									#1665		11e0-b0f3-137d-951c	
precipitation	is when					water			falls from	the sky											7975-13c2-aeb2-5a9a	
						water			absorbs	light energy											b665-c869-0fbf-4c19	
runoff	is when				cropland	water			enters; runs off into	bodies of water									#572		4ee7-8c52-99b5-7674	
						water		easily	passes through	pebbles									#1005		a224-d742-be36-390f	
						water			absorbs	solar energy	in the water cycle								#1019		3cac-554a-3149-cd7b	
evaporation	is when					water			is drawn back up into	the air	in the water cycle								#1401		68ad-c11b-2981-9be0	
						water 			flows down	a slope									# Q 693		9d72-710b-d88f-44ef	
hydropower	is when	falling				water			produces	electricity									#2189		b301-6de7-7042-2581	
			a			weather report			describes	weather											ff5e-bb4f-4d6f-449d	
				sometimes		weathering			smooths; rounds	rocks									# Q 602		e357-f8b5-992c-2d25	
						weeds			use up	nutrients									#1237		b5e7-965c-c67f-f9d9	
			a			windmill		does not	create	pollution									#1632		4ed1-58db-05c6-ad49	
						winter			follows	fall									#168		4be0-3791-43d4-1cad	
					dry	wood		easily	burns										#557		50c2-119a-8445-c8b7	
classifying	means								grouping	objects; materials		by	their properties						# Q 206		69c1-2991-2421-ce63	
		conservation	is		often				conserving	natural resources									# Q 1744		1b2f-e95c-68f1-e31e	
						Louis Pasteur			created; invented	pasteurization											fbee-1879-a1dc-7106	
						matter	with variable volume and shape		assumes; expands to fill; takes	the shape and size	of its entire container										02c3-9c98-38d9-3711	
live birth	means								developing	inside the mother								instead of an egg			292e-d25a-73fe-1e95	
digestion	is when				stomach	acid			breaks down	food											0323-62a6-1a45-17a9	
					no	light			shines through	an opaque object											e25c-9d2e-a369-8e52	
